title,author,length
76. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
77. Homecoming,By: Kate Morton,Length: 17 hrs and 38 mins
78. C. S. Lewis,By: C. S. Lewis,Length: 38 hrs and 57 mins
79. The Hunt for Red October,By: Tom Clancy,Length: 18 hrs and 42 mins
80. Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins
81. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
82. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
83. Small Mercies,By: Dennis Lehane,Length: 10 hrs and 23 mins
84. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
85. The Likeness,By: Tana French,Length: 22 hrs and 17 mins
86. Yours Truly,By: Abby Jimenez,Length: 11 hrs and 23 mins
87. Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 4 mins
88. In the Lives of Puppets,By: TJ Klune,Length: 15 hrs and 22 mins
89. The Return of the Gods,By: Jonathan Cahn,Length: 8 hrs and 34 mins
90. I Am the Light of This World,By: Michael Parker,Length: 8 hrs and 23 mins
"91. Are You There God? It's Me, Margaret (Movie Tie-In Edition)",By: Judy Blume,Length: 3 hrs and 9 mins
92. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
93. Outwitting the Devil,"By: Napoleon Hill, Sharon L. Lechter - editor",Length: 5 hrs and 51 mins
"94. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
95. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 36 mins
96. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
97. The Fossil Hunter,By: Tea Cooper,Length: 11 hrs and 52 mins
98. All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
99. Blindsighted,By: Karin Slaughter,Length: 11 hrs and 48 mins
100. The Extinction Survival Series Box Set,By: Walt Browning,Length: 38 hrs
