title,author,length
Daisy Jones & The Six,Taylor Jenkins Reid,Length: 9 hrs and 3 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
A Good Girl's Guide to Murder,Holly Jackson,Length: 10 hrs and 53 mins
How to Change Your Mind,Michael Pollan,Length: 13 hrs and 35 mins
It’s Not Summer Without You,Jenny Han,Length: 6 hrs and 7 mins
James Earl Jones Reads The Bible: King James Version,Topics Media Group,Length: 17 hrs and 15 mins
Infinite,Jeremy Robinson,Length: 10 hrs and 21 mins
The First Ladies,"Marie Benedict,Victoria Christopher Murray",Length: 14 hrs and 33 mins
American Gods: The Tenth Anniversary Edition (A Full Cast Production),Neil Gaiman,Length: 19 hrs and 39 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Fifty Shades of Grey,E. L. James,Length: 19 hrs and 48 mins
Yours Truly,Abby Jimenez,Length: 11 hrs and 23 mins
Imagine Heaven,John Burke,Length: 10 hrs and 30 mins
The Dispatcher,John Scalzi,Length: 2 hrs and 18 mins
Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,Length: 3 hrs and 39 mins
The New Confessions of an Economic Hit Man,John Perkins,Length: 12 hrs and 22 mins
Radical Candor: Fully Revised & Updated Edition,Kim Scott,Length: 11 hrs and 55 mins
Anxious People,Fredrik Backman,Length: 9 hrs and 53 mins
Waking the Tiger,"Peter A. Levine,Ann Frederick",Length: 8 hrs and 51 mins
Five Families,Selwyn Raab,Length: 33 hrs and 54 mins
People We Meet on Vacation,Emily Henry,Length: 10 hrs and 46 mins
Parable of the Sower,Octavia E. Butler,Length: 12 hrs
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
Forgiving What You Can't Forget,Lysa TerKeurst,Length: 8 hrs and 20 mins
The Swerve,Stephen Greenblatt,Length: 9 hrs and 41 mins
Think Again,Adam Grant,Length: 6 hrs and 40 mins
The Priory of the Orange Tree,Samantha Shannon,Length: 25 hrs and 52 mins
Hopeless,Colleen Hoover,Length: 12 hrs and 34 mins
Horus Rising,Dan Abnett,Length: 12 hrs and 14 mins
Dragonslayer,Craig Alanson,Length: 17 hrs and 40 mins
Relentless,"Tim S. Grover,Shari Wenk",Length: 6 hrs and 38 mins
The AI Revolution in Medicine,"Peter Lee,Carey Goldberg,Isaac Kohane",Length: 7 hrs and 24 mins
A Fallen Empire Omnibus,Lindsay Buroker,Length: 27 hrs and 26 mins
The Rose Code,Kate Quinn,Length: 16 hrs and 2 mins
White Trash Warlock,David R. Slayton,Length: 9 hrs and 19 mins
The Ruthless Elimination of Hurry,"John Mark Comer,John Ortberg - foreword",Length: 5 hrs and 20 mins
The Extraordinary Life of Sam Hell,Robert Dugoni,Length: 11 hrs and 41 mins
The Courage to Be Disliked,"Ichiro Kishimi,Fumitake Koga",Length: 6 hrs and 29 mins
Magic Hour,Kristin Hannah,Length: 14 hrs and 38 mins
The Jane Austen Collection,Jane Austen,Length: 45 hrs
The Primal Hunter 5,Zogarth,Length: 17 hrs and 47 mins
The Lincoln Highway,Amor Towles,Length: 16 hrs and 39 mins
Leviathan,Darius Hinks,Length: 12 hrs and 13 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
The Autobiography of Malcolm X,"Malcolm X,Alex Haley",Length: 16 hrs and 52 mins
The Godfather,"Mario Puzo,Francis Ford Coppola - introduction,Anthony Puzo - note,Robert J. Thompson - afterword",Length: 18 hrs and 48 mins
Flock,Kate Stewart,Length: 10 hrs and 12 mins
Credence,Penelope Douglas,Length: 16 hrs and 55 mins
Human Rights: A Basic Handbook for UN Staff,Justin Scaborough,Length: 4 hrs and 18 mins
Mindset,Carol S. Dweck PhD,Length: 10 hrs and 23 mins
Kitchen Confidential,Anthony Bourdain,Length: 8 hrs and 19 mins
The Tao of Pooh,Benjamin Hoff,Length: 2 hrs and 46 mins
Malibu Rising,Taylor Jenkins Reid,Length: 11 hrs and 5 mins
Dungeon Crawler Carl,Matt Dinniman,Length: 13 hrs and 31 mins
You Are a Badass® (Ultimate Collector's Edition),Jen Sincero,Length: 6 hrs and 22 mins
A Promised Land,Barack Obama,Length: 29 hrs and 10 mins
The Witch Collector,Charissa Weaks,Length: 13 hrs and 16 mins
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
The Storyteller,Dave Grohl,Length: 10 hrs and 35 mins
How to Do the Work,Dr. Nicole LePera,Length: 9 hrs and 42 mins
Where the Missing Go,Emma Rowley,Length: 9 hrs and 41 mins
The Ruin,Dervla McTiernan,Length: 10 hrs and 25 mins
Caste (Oprah's Book Club),Isabel Wilkerson,Length: 15 hrs and 10 mins
All the Demons Are Here,Jake Tapper,Length: 11 hrs and 10 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
The Awe of God,John Bevere,Length: 7 hrs and 28 mins
King of Pride,Ana Huang,Length: 11 hrs and 18 mins
Heart Bones,Colleen Hoover,Length: 8 hrs and 12 mins
Valkyrie,Craig Alanson,Length: 19 hrs and 45 mins
Endure,Cameron Hanes,Length: 7 hrs and 42 mins
The War of Art,Steven Pressfield,Length: 2 hrs and 29 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Who Not How,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 24 mins
What Happened to You?,"Oprah Winfrey,Bruce D. Perry",Length: 8 hrs and 27 mins
Winning the War in Your Mind,Craig Groeschel,Length: 4 hrs and 59 mins
The Light We Carry,Michelle Obama,Length: 9 hrs and 59 mins
Warrior Fae,"Caroline Peckham,Susanne Valenti",Length: 29 hrs and 37 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
From Blood and Ash,Jennifer L. Armentrout,Length: 19 hrs and 46 mins
12 Months to $1 Million,Ryan Daniel Moran,Length: 7 hrs and 38 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
Sense and Sensibility,Jane Austen,Length: 11 hrs and 25 mins
Cleaning Up Your Mental Mess,Dr. Caroline Leaf,Length: 8 hrs and 4 mins
The Creative Act,Rick Rubin,Length: 5 hrs and 45 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
I Will Find You,Harlan Coben,Length: 10 hrs and 16 mins
Suttree,Cormac McCarthy,Length: 20 hrs and 22 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Length: 8 hrs and 49 mins
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
The Primal Hunter,Zogarth,Length: 20 hrs and 9 mins
Local Woman Missing,Mary Kubica,Length: 11 hrs and 40 mins
The Blue Tattoo: The Life of Olive Oatman,Margot Mifflin,Length: 6 hrs and 47 mins
The Sandman,"Neil Gaiman,Dirk Maggs",Length: 11 hrs and 2 mins
The Perfect Marriage,Jeneva Rose,Length: 8 hrs and 52 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",Length: 18 hrs and 56 mins
The Lost Metal,Brandon Sanderson,Length: 18 hrs and 46 mins
The Summer I Turned Pretty,Jenny Han,Length: 6 hrs
The Power of One More,Ed Mylett,Length: 5 hrs and 19 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
The City of Singles,Ngoc Dinh,Length: 2 hrs and 1 min
Sense and Sensibility,Jane Austen,Length: 11 hrs and 25 mins
Cleaning Up Your Mental Mess,Dr. Caroline Leaf,Length: 8 hrs and 4 mins
The Creative Act,Rick Rubin,Length: 5 hrs and 45 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
I Will Find You,Harlan Coben,Length: 10 hrs and 16 mins
Suttree,Cormac McCarthy,Length: 20 hrs and 22 mins
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Length: 8 hrs and 49 mins
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
The Primal Hunter,Zogarth,Length: 20 hrs and 9 mins
Local Woman Missing,Mary Kubica,Length: 11 hrs and 40 mins
The Blue Tattoo: The Life of Olive Oatman,Margot Mifflin,Length: 6 hrs and 47 mins
The Sandman,"Neil Gaiman,Dirk Maggs",Length: 11 hrs and 2 mins
The Perfect Marriage,Jeneva Rose,Length: 8 hrs and 52 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",Length: 18 hrs and 56 mins
The Lost Metal,Brandon Sanderson,Length: 18 hrs and 46 mins
The Summer I Turned Pretty,Jenny Han,Length: 6 hrs
The Power of One More,Ed Mylett,Length: 5 hrs and 19 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
The City of Singles,Ngoc Dinh,Length: 2 hrs and 1 min
