title,author,length
Brave New World,Aldous Huxley,Length: 8 hrs
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
Playground,Aron Beauregard,Length: 9 hrs and 56 mins
Napoleon,Andrew Roberts,Length: 32 hrs and 56 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Before We Were Yours,Lisa Wingate,Length: 14 hrs and 29 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
Dark Matter,Blake Crouch,Length: 10 hrs and 8 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Length: 6 hrs and 1 min
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
The Gray Man,Mark Greaney,Length: 11 hrs and 11 mins
The Shining,Stephen King,Length: 15 hrs and 50 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,Length: 13 hrs and 21 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Peace Spawner,Alvin Atwater,Length: 18 hrs and 8 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
The Obesity Code,Dr. Jason Fung,Length: 10 hrs and 9 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,Length: 9 hrs and 9 mins
Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins
Animal Farm,George Orwell,Length: 3 hrs and 11 mins
Blood Meridian,Cormac McCarthy,Length: 13 hrs and 6 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
The Goal,"Eliyahu M. Goldratt,Jeff Cox",Length: 11 hrs and 45 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins
Columbus Day,Craig Alanson,Length: 16 hrs and 23 mins
All My Knotted-Up Life,Beth Moore,Length: 8 hrs and 29 mins
Tremendous,"Joey ""Coco"" Diaz",Length: 6 hrs and 45 mins
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
Sword of Destiny,"Andrzej Sapkowski,David French - Translator",Length: 12 hrs and 48 mins
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Length: 3 hrs and 41 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
Six of Crows,Leigh Bardugo,Length: 15 hrs and 4 mins
The Obstacle Is the Way,Ryan Holiday,Length: 4 hrs and 38 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Maybe Someday,Colleen Hoover,Length: 10 hrs and 40 mins
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
